time,open,volume,MACD,MACD_Hist,MACD_Signal,high,low
5/31/2023 12:57,416.92,35054,-0.005,-0.0175,0.0125,418.345,416.85
5/31/2023 12:56,416.85,91555,-0.0079,-0.0249,0.0169,418.345,416.81
5/31/2023 12:55,416.81,66581,-0.0044,-0.0276,0.0231,418.345,416.81
5/31/2023 12:54,416.89,85205,0.0042,-0.0259,0.03,418.345,416.605
5/31/2023 12:53,416.605,168063,0.0069,-0.0296,0.0365,418.345,416.605
5/31/2023 12:52,416.73,375816,0.0394,-0.0045,0.0439,418.345,416.605
5/31/2023 12:51,416.92,88073,0.0675,0.0225,0.045,418.345,416.605
5/31/2023 12:50,417.2,121668,0.0831,0.0437,0.0394,418.345,416.605
5/31/2023 12:49,417.33,58715,0.0732,0.0448,0.0285,418.345,416.605
5/31/2023 12:48,417.275,131522,0.0464,0.0291,0.0173,418.345,416.605
5/31/2023 12:47,416.93,260688,0.017,0.007,0.01,418.345,416.605
5/31/2023 12:46,416.85,81200,0.0144,0.0061,0.0082,418.345,416.605
5/31/2023 12:45,416.94,85679,0.019,0.0123,0.0067,418.345,416.605
5/31/2023 12:44,417.01,93582,0.0154,0.0118,0.0036,418.345,416.605
5/31/2023 12:43,416.965,86679,0.0035,0.0028,0.0007,418.2814,416.605
5/31/2023 12:42,416.805,76834,-0.0071,-0.0071,0,418.21,416.605
5/31/2023 12:41,416.87,63920,-0.0043,-0.0061,0.0018,418.08,416.605
5/31/2023 12:40,416.72,133071,-0.0073,-0.0106,0.0033,417.85,416.605
5/31/2023 12:39,416.78,69129,0.0042,-0.0017,0.0059,417.82,416.605
5/31/2023 12:38,416.85,82458,0.0128,0.0065,0.0063,417.82,416.605
5/31/2023 12:37,416.98,73766,0.0165,0.0117,0.0047,417.82,416.605
5/31/2023 12:36,416.918,117310,0.0077,0.0059,0.0018,417.82,416.605
5/31/2023 12:35,416.95,64792,0.0026,0.0023,0.0003,417.82,416.605
5/31/2023 12:34,416.915,84295,-0.0071,-0.0069,-0.0002,417.82,416.605
5/31/2023 12:33,416.8,75237,-0.0159,-0.0174,0.0015,417.82,416.605
5/31/2023 12:32,416.71,70481,-0.0152,-0.021,0.0058,417.82,416.605
5/31/2023 12:31,416.75,49195,-0.0048,-0.0159,0.0111,417.62,416.605
5/31/2023 12:30,416.78,68651,0.0044,-0.0106,0.015,417.43,416.605
5/31/2023 12:29,416.81,56179,0.013,-0.0047,0.0177,417.43,416.605
5/31/2023 12:28,416.93,81260,0.0208,0.0019,0.0189,417.41,416.605
5/31/2023 12:27,416.98,46699,0.0181,-0.0002,0.0184,417.41,416.605
5/31/2023 12:26,416.85,52573,0.0094,-0.009,0.0184,417.41,416.605
5/31/2023 12:25,416.95,40819,0.0114,-0.0093,0.0207,417.41,416.605
5/31/2023 12:24,416.84,73302,0.0036,-0.0194,0.023,417.41,416.605
5/31/2023 12:23,416.81,45272,0.0048,-0.023,0.0278,417.41,416.605
5/31/2023 12:22,416.79,43610,0.0093,-0.0243,0.0336,417.41,416.605
5/31/2023 12:21,416.79,80321,0.017,-0.0227,0.0397,417.41,416.605
5/31/2023 12:20,416.81,40543,0.0265,-0.0189,0.0453,417.41,416.605
5/31/2023 12:19,416.8,65900,0.0362,-0.0138,0.0501,417.41,416.605
5/31/2023 12:18,416.94,70856,0.0491,-0.0044,0.0535,417.41,416.605
5/31/2023 12:17,416.93,73837,0.0506,-0.004,0.0546,417.41,416.605
5/31/2023 12:16,417.05,37495,0.0528,-0.0028,0.0556,417.41,416.605
5/31/2023 12:15,416.91,78208,0.0426,-0.0137,0.0563,417.41,416.605
5/31/2023 12:14,416.88,73378,0.0433,-0.0165,0.0597,417.41,416.605
5/31/2023 12:13,416.83,68761,0.0465,-0.0173,0.0639,417.41,416.605
5/31/2023 12:12,416.91,80864,0.055,-0.0131,0.0682,417.41,416.605
5/31/2023 12:11,416.9864,81016,0.057,-0.0145,0.0715,417.33,416.605
5/31/2023 12:10,416.88,85278,0.0509,-0.0242,0.0751,417.33,416.605
5/31/2023 12:09,416.65,127211,0.0532,-0.0279,0.0811,417.33,416.605
5/31/2023 12:08,416.854,102212,0.0788,-0.0093,0.0881,417.33,416.605
5/31/2023 12:07,416.83,70319,0.0895,-0.0009,0.0904,417.33,416.605
5/31/2023 12:06,416.95,75553,0.1044,0.0137,0.0907,417.33,416.605
5/31/2023 12:05,417.16,95746,0.1096,0.0223,0.0873,417.33,416.605
5/31/2023 12:04,417.04,80062,0.0932,0.0116,0.0817,417.33,416.605
5/31/2023 12:03,416.99,80088,0.0833,0.0045,0.0788,417.33,416.605
5/31/2023 12:02,416.81,75822,0.0744,-0.0033,0.0777,417.33,416.605
5/31/2023 12:01,416.9,95575,0.0803,0.0019,0.0785,417.33,416.605
5/31/2023 12:00,416.755,74611,0.0776,-0.0004,0.078,417.33,416.605
5/31/2023 11:59,416.79,81318,0.0877,0.0096,0.0781,417.33,416.605
5/31/2023 11:58,416.78,89479,0.0958,0.0201,0.0757,417.33,416.605
5/31/2023 11:57,416.89,97790,0.1057,0.035,0.0707,417.33,416.605
5/31/2023 11:56,416.99,99617,0.1057,0.0437,0.062,417.33,416.605
5/31/2023 11:55,417.07,142122,0.0939,0.0429,0.051,417.33,416.605
5/31/2023 11:54,416.89,164246,0.0694,0.029,0.0403,417.33,416.605
5/31/2023 11:53,416.78,185220,0.0553,0.0223,0.0331,417.33,416.65
5/31/2023 11:52,416.72,136430,0.0478,0.0204,0.0275,417.33,416.59
5/31/2023 11:51,416.59,83782,0.0437,0.0213,0.0224,417.33,416.59
5/31/2023 11:50,416.745,81562,0.051,0.0339,0.0171,417.33,416.59
5/31/2023 11:49,416.7,96978,0.0438,0.0352,0.0086,417.275,416.59
5/31/2023 11:48,416.72,99551,0.0385,0.0387,-0.0002,417.16,416.59
5/31/2023 11:47,416.61,220185,0.0292,0.0391,-0.0099,417.16,416.59
